slug,narrative_words,facilitator_note_words,total_file_words,minutes_low,minutes_high,source_paragraphs,unique_events,boilerplate_pct,integration,meets_depth,min_narrative,max_narrative,week_code,human_review
c1-w1-what-is-kutumba-and-why-are-we-here,893,0,1386,6.6,7.8,0,13,0,False,True,700,1200,C1-W1,required
c1-w2-i-am-not-this-body,263,4,1105,1.9,2.3,4,5,0,False,False,700,1200,C1-W2,required
c1-w3-the-nature-of-the-soul,730,0,1230,5.4,6.3,0,10,0,False,True,700,1200,C1-W3,required
c1-w4-why-human-life-is-rare-and-valuable,755,0,1273,5.6,6.6,0,12,0,False,True,700,1200,C1-W4,required
c1-w5-the-temporary-world-and-the-search-for-permanent-happiness,764,0,1264,5.7,6.6,0,11,0,False,True,700,1200,C1-W5,required
c1-w6-integration-night-who-am-i-and-how-should-our-family-live,437,0,928,3.2,3.8,0,8,0,True,True,350,700,C1-W6,required
c2-w1-action-and-reaction-how-karma-binds,407,26,1023,3.0,3.5,14,14,100,False,False,700,1200,C2-W1,required
c2-w2-free-will-and-responsibility-the-next-choice-matters,410,26,993,3.0,3.6,14,14,100,False,False,700,1200,C2-W2,required
c2-w3-birth-death-and-reincarnation,459,26,1057,3.4,4.0,16,16,100,False,False,700,1200,C2-W3,required
c2-w4-the-three-modes-of-material-nature,387,26,954,2.9,3.4,14,14,100,False,False,700,1200,C2-W4,required
c2-w5-māyā-decorating-the-prison-cell,384,26,953,2.8,3.3,14,14,100,False,False,700,1200,C2-W5,required
c2-w6-integration-night-choice-consequence-and-the-modes,189,0,716,1.4,1.6,11,2,0,True,False,350,700,C2-W6,required
c3-w1-who-is-god-the-supreme-enjoyer-proprietor-and-friend,552,26,1092,4.1,4.8,17,17,100,False,False,700,1200,C3-W1,required
c3-w2-who-is-kṛṣṇa-the-supreme-personality-of-godhead,533,26,1041,3.9,4.6,17,17,100,False,False,700,1200,C3-W2,required
c3-w3-guru-sādhu-and-śāstra-how-we-receive-spiritual-knowledge,465,26,955,3.4,4.0,17,17,100,False,False,700,1200,C3-W3,required
c3-w4-śrī-caitanya-mahāprabhu-and-the-holy-name,357,26,865,2.6,3.1,15,13,100,False,False,700,1200,C3-W4,required
c3-w5-the-nine-processes-of-bhakti,344,26,861,2.5,3.0,14,12,100,False,False,700,1200,C3-W5,required
c3-w6-bhakti-mela-kīrtana-drama-and-family-presentation,187,0,668,1.4,1.6,11,2,0,True,False,350,700,C3-W6,required
