asset_id,module,bytes,graphic_elements,classification
c1-w1-analogy-garden,c1-w1-what-is-kutumba-and-why-are-we-here,2938,5,kutumba-original-teaching-visual
c1-w1-charter-wheel,c1-w1-what-is-kutumba-and-why-are-we-here,3204,15,kutumba-original-teaching-visual
c1-w1-concept-hearing-flow,c1-w1-what-is-kutumba-and-why-are-we-here,3010,10,kutumba-original-teaching-visual
c1-w1-home-practice,c1-w1-what-is-kutumba-and-why-are-we-here,3017,7,kutumba-original-teaching-visual
c1-w1-session-map,c1-w1-what-is-kutumba-and-why-are-we-here,3961,14,kutumba-original-teaching-visual
c1-w1-storyboard-naimisharanya,c1-w1-what-is-kutumba-and-why-are-we-here,3675,8,kutumba-original-teaching-visual
c1-w1-verse-sb-1-2-18,c1-w1-what-is-kutumba-and-why-are-we-here,2746,8,kutumba-original-teaching-visual
c1-w2-analogy-changing-clothes,c1-w2-i-am-not-this-body,2862,5,kutumba-original-teaching-visual
c1-w2-analogy-driver-vehicle,c1-w2-i-am-not-this-body,2912,5,kutumba-original-teaching-visual
c1-w2-concept-life-stages,c1-w2-i-am-not-this-body,2946,10,kutumba-original-teaching-visual
c1-w2-home-practice,c1-w2-i-am-not-this-body,2975,7,kutumba-original-teaching-visual
c1-w2-session-map,c1-w2-i-am-not-this-body,3958,14,kutumba-original-teaching-visual
c1-w2-storyboard-chariot,c1-w2-i-am-not-this-body,3575,8,kutumba-original-teaching-visual
c1-w2-verse-bg-2-13,c1-w2-i-am-not-this-body,2729,8,kutumba-original-teaching-visual
c1-w3-analogy-sunray,c1-w3-the-nature-of-the-soul,2875,5,kutumba-original-teaching-visual
c1-w3-body-soul-care,c1-w3-the-nature-of-the-soul,3199,15,kutumba-original-teaching-visual
c1-w3-concept-jiva-qualities,c1-w3-the-nature-of-the-soul,2979,10,kutumba-original-teaching-visual
c1-w3-home-practice,c1-w3-the-nature-of-the-soul,2965,7,kutumba-original-teaching-visual
c1-w3-session-map,c1-w3-the-nature-of-the-soul,3957,14,kutumba-original-teaching-visual
c1-w3-storyboard-jada-bharata,c1-w3-the-nature-of-the-soul,3621,8,kutumba-original-teaching-visual
c1-w3-verse-bg-2-20,c1-w3-the-nature-of-the-soul,2702,8,kutumba-original-teaching-visual
c1-w4-analogy-crossroads,c1-w4-why-human-life-is-rare-and-valuable,2894,5,kutumba-original-teaching-visual
c1-w4-compassion-map,c1-w4-why-human-life-is-rare-and-valuable,3173,15,kutumba-original-teaching-visual
c1-w4-concept-opportunity-path,c1-w4-why-human-life-is-rare-and-valuable,2939,10,kutumba-original-teaching-visual
c1-w4-home-practice,c1-w4-why-human-life-is-rare-and-valuable,2960,7,kutumba-original-teaching-visual
c1-w4-session-map,c1-w4-why-human-life-is-rare-and-valuable,3959,14,kutumba-original-teaching-visual
c1-w4-storyboard-mrgari,c1-w4-why-human-life-is-rare-and-valuable,3577,8,kutumba-original-teaching-visual
c1-w4-verse-bg-2-40,c1-w4-why-human-life-is-rare-and-valuable,2728,8,kutumba-original-teaching-visual
c1-w5-analogy-pleasure-cycle,c1-w5-the-temporary-world-and-the-search-for-permanent-happiness,2875,5,kutumba-original-teaching-visual
c1-w5-concept-temporary-permanent,c1-w5-the-temporary-world-and-the-search-for-permanent-happiness,2985,10,kutumba-original-teaching-visual
c1-w5-family-affection,c1-w5-the-temporary-world-and-the-search-for-permanent-happiness,3237,15,kutumba-original-teaching-visual
c1-w5-home-practice,c1-w5-the-temporary-world-and-the-search-for-permanent-happiness,2953,7,kutumba-original-teaching-visual
c1-w5-session-map,c1-w5-the-temporary-world-and-the-search-for-permanent-happiness,3959,14,kutumba-original-teaching-visual
c1-w5-storyboard-dhruva,c1-w5-the-temporary-world-and-the-search-for-permanent-happiness,3587,8,kutumba-original-teaching-visual
c1-w5-verse-bg-5-22,c1-w5-the-temporary-world-and-the-search-for-permanent-happiness,2730,8,kutumba-original-teaching-visual
c1-w6-cycle-synthesis-map,c1-w6-integration-night-who-am-i-and-how-should-our-family-live,2960,10,kutumba-original-teaching-visual
c1-w6-family-presentation,c1-w6-integration-night-who-am-i-and-how-should-our-family-live,2906,5,kutumba-original-teaching-visual
c1-w6-gamma-asset-sheet,c1-w6-integration-night-who-am-i-and-how-should-our-family-live,3531,12,kutumba-original-teaching-visual
c1-w6-home-practice,c1-w6-integration-night-who-am-i-and-how-should-our-family-live,2970,7,kutumba-original-teaching-visual
c1-w6-integration-verses,c1-w6-integration-night-who-am-i-and-how-should-our-family-live,2735,8,kutumba-original-teaching-visual
c1-w6-memory-line-path,c1-w6-integration-night-who-am-i-and-how-should-our-family-live,3939,14,kutumba-original-teaching-visual
c1-w6-session-map,c1-w6-integration-night-who-am-i-and-how-should-our-family-live,3976,14,kutumba-original-teaching-visual
